Periods,Greenhouse surface (ha)
1949.83918,2191.952668
1950.168127,2227.599471
1950.606724,2352.363282
1950.606724,2352.363282
1951.154969,2423.656889
1951.429092,2530.597299
1951.483917,2530.597299
1952.306285,2584.067504
1953.128653,2637.537709
1953.457601,2744.478119
1953.786548,2762.30152
1954.554092,2958.358938
1954.663741,3011.829143
1955.431285,3154.416356
1955.869881,3225.709963
1956.253653,3314.826971
1956.69225,3386.120578
1957.459794,3546.531192
1957.788741,3564.354594
1958.50146,3671.295004
1959.21418,3742.588611
1959.981723,3920.822627
1960.475144,4099.056643
1960.749267,4134.703447
1961.461986,4312.937463
1961.900583,4402.054471
1962.22953,4508.994881
1962.94225,4651.582094
1963.600144,4794.169308
1963.709793,4829.816111
1963.819442,4865.462914
1964.038741,4901.109717
1964.477337,4918.933119
1957.021197,3493.060988
1954.992688,3083.12275
1964.915934,5079.343734
1965.190056,5150.63734
1965.738302,5221.930947
1966.067249,5221.930947
1966.56067,5257.57775
1966.999267,5275.401152
1967.602337,5275.401152
1968.040934,5311.047955
1968.534355,5328.871357
1968.863302,5346.694759
1969.466372,5346.694759
1969.466372,5346.694759
1969.795319,5346.694759
1970.343565,5346.694759
1970.782161,5239.754349
1971.056284,5204.107545
1971.165933,5150.63734
1971.220758,5150.63734
1971.549705,5114.990537
1971.933477,4972.403324
1972.646196,4901.109717
1972.2076,4918.933119
1972.865495,4740.699103
1973.249267,4705.052299
1973.633039,4705.052299
1974.236109,4687.228898
1974.455407,4687.228898
1974.72953,4722.875701
1975.113302,4722.875701
1975.222951,4651.582094
1975.387424,4615.935291
1975.606723,4598.111889
1975.826021,4508.994881
1976.53874,4508.994881
1977.251459,4562.465086
1977.74488,4562.465086
1978.238301,4598.111889
1978.676898,4598.111889
1978.951021,4598.111889
1979.883038,4633.758693
1980.102336,4633.758693
1981.034354,4633.758693
1980.540933,4633.758693
1979.279968,4633.758693
1981.418126,4705.052299
1981.801898,4705.052299
1982.295319,4705.052299
1982.953214,4633.758693
1983.611108,4651.582094
1984.049705,4651.582094
1984.543126,4615.935291
1985.091371,4615.935291
1985.639617,4562.465086
1986.133038,4544.641685
1986.681284,4473.348078
1987.174705,4473.348078
1987.613301,4437.701275
1987.997073,4437.701275
1988.435669,4437.701275
1988.764617,4419.877873
1989.148389,4419.877873
1989.696634,4419.877873
1990.135231,4437.701275
1990.24488,4455.524676
1990.738301,4508.994881
1991.505845,4526.818283
1991.176897,4526.818283
1991.999266,4615.935291
1992.547511,4651.582094
1993.205406,4651.582094
1993.698827,4526.818283
1993.863301,4544.641685
1994.247073,4491.17148
1994.685669,4473.348078
1995.398388,4384.23107
1995.946634,4223.820455
1996.549704,4170.35025
1997.372073,4170.35025
1997.975143,4277.29066
1998.413739,4312.937463
1998.852336,4384.23107
1999.236108,4330.760865
1999.674704,4277.29066
1999.839178,4223.820455
