"Farm types";"Periods";"Regions";"Land use/Area/Utilised agricultural area (UAA) (are)";"Land use/Number of farms/Land use, total (number)";"Land use/Number of farms/Utilised agricultural area (UAA) (number)";"Arable land/Area/Other arable crops (are)";"Arable land/Number of farms/Industrial crops (number)";"Horticulture, in the open/Area/Horticulture in the open, total (are)";"Horticulture, under glass/Area/Horticulture under glass, total (m2)";"Grassland and forage plants/Number of farms/Grassland/Temporary grass (number)";"Grazing livestock/Number of farms/Equidae/Horses (number)"
"All farm types";"2000";"Nederland";197550427;97389;95944;1070187;1830;8106079;105208811;11041;14146
"All farm types";"2001";"Nederland";194613178;92647;91240;1026825;1801;7965740;105240265;10755;13162
"All farm types";"2002";"Nederland";196407461;89479;88075;719298;1864;8401077;105383335;10317;12412
"All farm types";"2003";"Nederland";194564993;85408;84141;645759;1959;8371088;105391952;15291;12347
"All farm types";"2004";"Nederland";194940340;83794;82575;645358;1904;8198409;104860212;16620;12168
"All farm types";"2005";"Nederland";193769503;81750;80231;818942;1802;8139184;105396583;16279;12209
"All farm types";"2006";"Nederland";191970417;79435;77849;674979;1967;8535679;103806567;15439;11691
"All farm types";"2007";"Nederland";191425197;76741;74942;695597;1759;8650519;103737196;15022;11370
"All farm types";"2008";"Nederland";192921856;75151;73581;666818;1707;8846691;101654215;14823;11216
"All farm types";"2009";"Nederland";191741454;73008;71376;579561;1664;8787603;103240571;14849;11236
"All farm types";"2010";"Nederland";187231940;72324;70627;743895;1648;8707297;103074941;14713;10711
"All farm types";"2011";"Nederland";185839283;70392;68720;369536;1451;8855224;102491890;14312;10436
"All farm types";"2012";"Nederland";184169846;68810;67077;364513;1367;8642095;99616624;17863;10090
"All farm types";"2013";"Nederland";184757142;67481;65793;386419;1569;8635971;98174658;19786;9767
"All farm types";"2014";"Nederland";183901711;65507;63830;364727;1549;8710145;94881967;21595;9261
"All farm types";"2015";"Nederland";184574562;63913;62256;400191;1688;9046390;92078263;22908;8481
"All farm types";"2016";"Nederland";181586557;55688;54382;381638;1606;9224088;92790067;22292;6140
"All farm types";"2017";"Nederland";181858809;;53458;398029;1568;9352441;90794934;22321;6368
"All farm types";"2018";"Nederland";182236648;;52475;472058;1619;9432919;89896929;21754;6411
"All farm types";"2019";"Nederland";181631846;;51826;560590;1695;9314662;96926213;22105;5965
"All farm types";"2020";"Nederland";181445084;52315;51282;661411;1641;9312775;100778913;21622;6159
"All farm types";"2021";"Nederland";181191192;;50677;729499;1643;9480615;105547223;21650;6610
"All farm types";"2022";"Nederland";180436921;;49679;746462;1542;9540604;106368923;21086;
