"Harmonized System";"Periods";"Distribution of exports/Exports of Dutch products ()"
"07 Edible vegetables and certain root...";"1996";"       ."
"07 Edible vegetables and certain root...";"1997";"       ."
"07 Edible vegetables and certain root...";"1998";"       ."
"07 Edible vegetables and certain root...";"1999";"       ."
"07 Edible vegetables and certain root...";"2000";"       ."
"07 Edible vegetables and certain root...";"2001";"       ."
"07 Edible vegetables and certain root...";"2002";"    83.0"
"07 Edible vegetables and certain root...";"2003";"    83.9"
"07 Edible vegetables and certain root...";"2004";"    84.6"
"07 Edible vegetables and certain root...";"2005";"    84.5"
"07 Edible vegetables and certain root...";"2006";"    84.9"
"07 Edible vegetables and certain root...";"2007";"    83.8"
"07 Edible vegetables and certain root...";"2008";"    83.7"
"07 Edible vegetables and certain root...";"2009";"    85.3"
"07 Edible vegetables and certain root...";"2010";"    85.0"
"07 Edible vegetables and certain root...";"2011";"    84.3"
"07 Edible vegetables and certain root...";"2012";"    83.1"
"07 Edible vegetables and certain root...";"2013";"    84.2"
"07 Edible vegetables and certain root...";"2014";"    86.0"
"07 Edible vegetables and certain root...";"2015";"    85.7"
"07 Edible vegetables and certain root...";"2016";"    84.7"
"07 Edible vegetables and certain root...";"2017";"    84.4"
"07 Edible vegetables and certain root...";"2018";"    84.0"
"07 Edible vegetables and certain root...";"2019";"    82.8"
"07 Edible vegetables and certain root...";"2020";"    82.1"
"07 Edible vegetables and certain root...";"2021";"    81.6"
